ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
22042,Falls Church,VA,Washington-Arlington-Alexandria,Fairfax County,523312
33019,Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,523215
77079,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,523115
07006,West Caldwell,NJ,New York-Newark-Jersey City,Essex County,522919
60184,Wayne,IL,Chicago-Naperville-Elgin,DuPage County,522916
10560,Town Of North Salem,NY,New York-Newark-Jersey City,Westchester County,522636
91406,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,522462
90601,Whittier,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,522402
96746,Kapaa,HI,Kapaa,Kauai County,521664
35223,Mountain Brook,AL,Birmingham-Hoover,Jefferson County,521379
02453,Waltham,MA,Boston-Cambridge-Newton,Middlesex County,521210
91321,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,521076
06905,Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,521011
19118,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,520985
92868,Orange,CA,Los Angeles-Long Beach-Anaheim,Orange County,520765
20169,Haymarket,VA,Washington-Arlington-Alexandria,Prince William County,520751
18934,Buckingham Township,PA,Philadelphia-Camden-Wilmington,Bucks County,520577
11423,New York,NY,New York-Newark-Jersey City,Queens County,520418
11561,Long Beach,NY,New York-Newark-Jersey City,Nassau County,520390
76034,Colleyville,TX,Dallas-Fort Worth-Arlington,Tarrant County,520252
01740,Bolton,MA,Worcester,Worcester County,519654
48009,Birmingham,MI,Detroit-Warren-Dearborn,Oakland County,519243
20017,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,517184
92264,Palm Springs,CA,Riverside-San Bernardino-Ontario,Riverside County,516985
07702,Shrewsbury,NJ,New York-Newark-Jersey City,Monmouth County,516833
92028,Fallbrook,CA,San Diego-Carlsbad,San Diego County,516831
33062,Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,516673
60527,Burr Ridge,IL,Chicago-Naperville-Elgin,DuPage County,516646
